Servant,id,Avatar,avp,AvatarMax,Nick,R,Class,Attr.,C1,C2,C3,C4,C5,HP,ATK,Availability,asc11,asc11n,asc12,asc12n,asc13,asc13n,asc21,,asc22,,asc23,,asc24,,asc31,,asc32,,asc33,,asc41,,asc42,,asc43,,asc44,,skill11,,skill12,,skill13,,skill21,,skill22,,skill23,,skill24,,skill31,,skill32,,skill33,,skill41,,skill42,,skill43,,skill44,,skill51,,skill52,,skill53,,skill61,,skill62,,skill63,,skill64,,skill71,,skill72,,skill81,,skill82,,campaign1,campaign2,campaign3
Penthesilea,171,https://vignette.wikia.nocookie.net/fategrandorder/images/b/b1/BerserkerOfElDoradoIcon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/9/98/PenthesileaFinalIcon.png/revision/latest?cb=20180218073718,Penth,4,Berserker,Earth,B,B,B,A,Q,10175,10502,Permanent,pieceBerserker,4,,,,,pieceBerserker,10,Crystal,6,,,,,monumentBerserker,4,Horseshoe,8,Tearstone,3,monumentBerserker,10,Tearstone,5,Root,4,,,blueBerserker,4,,,,,blueBerserker,10,,,,,,,redBerserker,4,,,,,redBerserker,10,Horseshoe,4,,,,,goldBerserker,4,Horseshoe,8,,,goldBerserker,10,Crystal,4,,,,,Crystal,8,Gallstone,2,Gallstone,6,Wine,8,Amazoness.com CEO Crisis 2020,,
Phantom of the Opera,44,https://vignette.wikia.nocookie.net/fategrandorder/images/1/1f/Phantomicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/6/6c/PhantomFinalIcon.png/revision/latest?cb=20180212023530,Phantom,2,Assassin,Earth,B,A,Q,Q,Q,8393,5654,Permanent,pieceAssassin,3,,,,,pieceAssassin,6,Lantern,4,,,,,monumentAssassin,3,Dust,10,Gear,3,monumentAssassin,6,Gear,5,Bone,18,,,blueAssassin,3,,,,,blueAssassin,6,,,,,,,redAssassin,3,,,,,redAssassin,6,Dust,5,,,,,goldAssassin,3,Dust,10,,,goldAssassin,6,Lantern,3,,,,,Lantern,5,Heart,2,Heart,4,Bone,36,,,
Prince of Lanling,227,https://vignette.wikia.nocookie.net/fategrandorder/images/2/22/S227Icon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/8/86/LanlingWangFinalIcon.png/revision/latest?cb=20181128162225,Lanling,4,Saber,Man,B,B,A,A,Q,12625,9112,Permanent,pieceSaber,4,,,,,pieceSaber,10,Proof,18,,,,,monumentSaber,4,Feather,7,Fang,10,monumentSaber,10,Fang,20,Scale,4,,,blueSaber,4,,,,,blueSaber,10,,,,,,,redSaber,4,,,,,redSaber,10,Feather,4,,,,,goldSaber,4,Feather,7,,,goldSaber,10,Proof,12,,,,,Proof,24,Stinger,12,Stinger,36,Scarab,8,Servant Summer Camp,,
Qin Liangyu,228,https://vignette.wikia.nocookie.net/fategrandorder/images/5/5a/S228Icon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/e/e2/QinLiangyuFinalIcon.png/revision/latest?cb=20181128162237,Liangyu,4,Lancer,Man,B,A,A,Q,Q,13387,8295,Permanent,pieceLancer,4,,,,,pieceLancer,10,Seed,8,,,,,monumentLancer,4,Jewel,7,Feather,4,monumentLancer,10,Feather,7,Claw,6,,,blueLancer,4,,,,,blueLancer,10,,,,,,,redLancer,4,,,,,redLancer,10,Jewel,4,,,,,goldLancer,4,Jewel,7,,,goldLancer,10,Seed,5,,,,,Seed,10,Steel,5,Steel,15,Bell,20,,,
Qin Shi Huang,229,https://vignette.wikia.nocookie.net/fategrandorder/images/e/e5/S229Icon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/f/fd/ShiHuangDiFinalIcon.png/revision/latest?cb=20181228111738,QSH,5,Ruler,Man,B,B,A,A,Q,15828,9977,Limited,pieceSaber,5,pieceCaster,5,pieceRider,5,pieceArcher,5,pieceLancer,5,pieceAssassin,5,pieceBerserker,5,monumentSaber,5,monumentCaster,5,monumentRider,5,monumentArcher,5,monumentLancer,5,monumentAssassin,5,monumentBerserker,5,blueSaber,5,blueCaster,5,blueRider,5,blueArcher,5,blueLancer,5,blueAssassin,5,blueBerserker,5,redSaber,5,redCaster,5,redRider,5,redArcher,5,redLancer,5,redAssassin,5,redBerserker,5,goldSaber,5,goldCaster,5,goldRider,5,goldArcher,5,goldLancer,5,goldAssassin,5,goldBerserker,5,Bell,12,,,Core,20,,,New Year 2020,21M Downloads Campaign,
Queen Medb,99,https://vignette.wikia.nocookie.net/fategrandorder/images/f/ff/Medbicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/a/a8/MedbFinalIcon.png/revision/latest?cb=20180215130302,Medb,5,Rider,Earth,B,B,A,A,Q,13968,10296,Story-locked,pieceRider,5,,,,,pieceRider,12,Jewel,6,,,,,monumentRider,5,Feather,8,Horseshoe,5,monumentRider,12,Horseshoe,10,Horn,8,,,blueRider,5,,,,,blueRider,12,,,,,,,redRider,5,,,,,redRider,12,Feather,4,,,,,goldRider,5,Feather,8,,,goldRider,12,Jewel,4,,,,,Jewel,8,Lantern,6,Lantern,18,Heart,10,Valentine's 2020,Valentine's 2021,Grail Live
Queen of Sheba,194,https://vignette.wikia.nocookie.net/fategrandorder/images/6/6e/Icon_Servant_194.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/d/d6/QueenOfShebaFinalIcon.png/revision/latest?cb=20180216122959,Sheba,4,Caster,Man,B,B,A,A,Q,12127,8629,Story-locked,pieceCaster,4,,,,,pieceCaster,10,Feather,5,,,,,monumentCaster,4,Stake,24,Jewel,4,monumentCaster,10,Jewel,7,Lamp,6,,,blueCaster,4,,,,,blueCaster,10,,,,,,,redCaster,4,,,,,redCaster,10,Stake,12,,,,,goldCaster,4,Stake,24,,,goldCaster,10,Feather,4,,,,,Feather,7,Chain,15,Chain,45,Scarab,8,Valentine's 2020,,
Quetzalcoatl,144,https://vignette.wikia.nocookie.net/fategrandorder/images/0/00/Quetzicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/2/2a/QuetzalcoatlFinalIcon.png/revision/latest?cb=20180215130316,Quetz,5,Rider,Sky,B,B,A,A,Q,12960,12001,Story-locked,pieceRider,5,,,,,pieceRider,12,Fang,18,,,,,monumentRider,5,Jewel,8,Scale,2,monumentRider,12,Scale,4,Feather,10,,,blueRider,5,,,,,blueRider,12,,,,,,,redRider,5,,,,,redRider,12,Jewel,4,,,,,goldRider,5,Jewel,8,,,goldRider,12,Fang,12,,,,,Fang,24,Chain,18,Chain,54,Gallstone,10,Valentine's 2020,Valentine's 2021,Servant Strengthening Quests XIII
Quetzalcoatl [Santa],233,https://vignette.wikia.nocookie.net/fategrandorder/images/6/61/S233Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/3/3f/QuetzalcoatlSambaSantaFinalIcon.png/revision/latest?cb=20181228111742,Santa Quetz,4,Ruler,Sky,B,B,A,Q,Q,11306,9687,Welfare,Mask,1,,,,,Mask,1,,,,,,,Mask,1,,,,,Mask,1,,,,,,,blueLancer,4,blueRider,4,blueBerserker,4,blueSaber,4,blueArcher,4,blueCaster,4,blueAssassin,4,redLancer,4,redRider,4,redBerserker,4,redSaber,4,redArcher,4,redCaster,4,redAssassin,4,goldLancer,4,goldRider,4,goldBerserker,4,goldSaber,4,goldArcher,4,goldCaster,4,goldAssassin,4,Ring,10,,,Wine,12,,,,,
Rama,101,https://vignette.wikia.nocookie.net/fategrandorder/images/7/78/Ramaicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/6/6a/RamaFinalIcon.png/revision/latest?cb=20180212151805,Rama,4,Saber,Sky,B,B,A,A,Q,11993,9854,Permanent,pieceSaber,4,,,,,pieceSaber,10,Seed,8,,,,,monumentSaber,4,Heart,4,Crystal,4,monumentSaber,10,Crystal,8,Root,4,,,blueSaber,4,,,,,blueSaber,10,,,,,,,redSaber,4,,,,,redSaber,10,Heart,2,,,,,goldSaber,4,Heart,4,,,goldSaber,10,Seed,5,,,,,Seed,10,Claw,3,Claw,9,Bone,60,Servant Strengthening Quests XIII,,
Red Hare,231,https://vignette.wikia.nocookie.net/fategrandorder/images/6/60/S231Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/8/84/RedHareFinalIcon.png/revision/latest?cb=20181228111850,Red Hare,3,Rider,Earth,B,B,A,Q,Q,10483,6434,Story-locked,pieceRider,4,,,,,pieceRider,8,Horseshoe,5,,,,,monumentRider,4,Fluid,20,Chain,10,monumentRider,8,Chain,20,Gallstone,4,,,blueRider,4,,,,,blueRider,8,,,,,,,redRider,4,,,,,redRider,8,Fluid,10,,,,,goldRider,4,Fluid,20,,,goldRider,8,Horseshoe,4,,,,,Horseshoe,7,Bell,4,Bell,12,Tearstone,10,Chaldea Boys Collection 2020,Interlude Campaign 14,
Robin Hood,13,https://vignette.wikia.nocookie.net/fategrandorder/images/4/4f/Robinicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/a/a9/RobinhoodFinalIcon.png/revision/latest?cb=20180213162908,Robin,3,Archer,Man,B,A,A,Q,Q,10187,6715,Permanent,pieceArcher,4,,,,,pieceArcher,8,Seed,6,,,,,monumentArcher,4,Jewel,6,Fang,8,monumentArcher,8,Fang,16,Dust,16,,,blueArcher,4,,,,,blueArcher,8,,,,,,,redArcher,4,,,,,redArcher,8,Jewel,3,,,,,goldArcher,4,Jewel,6,,,goldArcher,8,Seed,4,,,,,Seed,8,Feather,4,Feather,10,Dust,32,,,
Romulus,22,https://vignette.wikia.nocookie.net/fategrandorder/images/0/02/Romulusicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/c/cc/RomulusFinalIcon.png/revision/latest?cb=20180214130227,Romulus,3,Lancer,Star,B,B,A,Q,Q,9883,7239,Permanent,pieceLancer,4,,,,,pieceLancer,8,Crystal,5,,,,,monumentLancer,4,Feather,6,Bone,10,monumentLancer,8,Bone,20,Dust,16,,,blueLancer,4,,,,,blueLancer,8,,,,,,,redLancer,4,,,,,redLancer,8,Feather,3,,,,,goldLancer,4,Feather,6,,,goldLancer,8,Crystal,4,,,,,Crystal,7,Gear,4,Gear,12,Dust,32,,,
Romulus-Quirinus,280,https://vignette.wikia.nocookie.net/fategrandorder/images/8/8b/S280Icon.png/revision/latest?cb=20200416105035,,https://vignette.wikia.nocookie.net/fategrandorder/images/e/ea/RomulusQuirinusFinalIcon.png/revision/latest?cb=20200416113621,Grand Roma,5,Lancer,Sky,B,B,A,A,Q,13632,12273,Limited,pieceLancer,5,,,,,pieceLancer,12,Seed,9,,,,,monumentLancer,5,Ring,10,Root,2,monumentLancer,12,Root,4,Egg,5,,,blueLancer,5,,,,,blueLancer,12,,,,,,,redLancer,5,,,,, redLancer,12,Ring,5,,,,,goldLancer,5,Ring,10,,,goldLancer,12,Seed,6,,,,,Seed,12,Vein,6,Vein,18,Fruit,15,Olympos Chapter Release,Holy Grail Front - Rome,
Ryougi Shiki,92,https://vignette.wikia.nocookie.net/fategrandorder/images/1/10/Ryougiassassinicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/a/af/RyougiShikiAssassinFinalIcon.png/revision/latest?cb=20180205124134,Shiki,4,Assassin,Man,B,A,A,Q,Q,11055,8867,Welfare,Knife,1,,,,,Knife,1,,,,,,,Knife,1,,,,,Knife,1,,,,,,,blueAssassin,4,,,,,blueAssassin,10,,,,,,,redAssassin,4,,,,,redAssassin,10,Bone,12,,,,,goldAssassin,4,Bone,24,,,goldAssassin,10,Claw,3,,,,,Claw,5,Gear,5,Gear,15,Baby,20,,,
Ryougi Shiki [Saber],91,https://vignette.wikia.nocookie.net/fategrandorder/images/3/3f/Ryougisabericon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/e/e9/RyougiShikiSaberFinalIcon.png/revision/latest?cb=20180212023846,Saber Shiki,5,Saber,Man,B,B,A,A,Q,15453,10721,Limited,pieceSaber,5,,,,,pieceSaber,12,Dust,15,,,,,monumentSaber,5,Feather,8,Claw,3,monumentSaber,12,Claw,6,Heart,5,,,blueSaber,5,,,,,blueSaber,12,,,,,,,redSaber,5,,,,,redSaber,12,Feather,4,,,,,goldSaber,5,Feather,8,,,goldSaber,12,Dust,10,,,,,Dust,20,Crystal,6,Crystal,18,Lantern,24,New Year 2020,,
Saitou Hajime,293,https://vignette.wikia.nocookie.net/fategrandorder/images/b/b9/S293A1Icon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/6/62/S293A4Icon.png/,Saitou,4,Saber,Man,B,B,A,A,Q,11873,9425,Limited,pieceSaber,4,,,,,pieceSaber,10,Proof,18,,,,,monumentSaber,4,Bone,24,Fluid,12,Fluid,24,Wine,4,,,,,blueSaber,4,,,,,blueSaber,10,,,,,,,redSaber,4,,,,,redSaber,10,Bone,12,,,,,goldSaber,4,Bone,24,,,goldSaber,10,Proof,12,,,,,Proof,24,Stake,15,Stake,45,Bell,20,GudaGuda Yamatai-koku,,
Sakamoto Ryouma,211,https://vignette.wikia.nocookie.net/fategrandorder/images/5/55/Icon_S211.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/d/d0/SakamotoRyoumaFinalIcon.png/revision/latest?cb=20180917165001,Ryouma,4,Rider,Man,B,B,A,A,Q,11880,8555,Welfare,Flag,1,,,,,Flag,1,,,,,,,Flag,1,,,,,Flag,1,,,,,,,blueRider,4,,,,,blueRider,10,,,,,,,redRider,4,,,,,redRider,10,Lantern,4,,,,,goldRider,4,Lantern,8,,,goldRider,10,Gunpowder,12,,,,,Gunpowder,24,Magatama,5,Magatama,15,Scarab,8,,,
Sakata Kintoki,51,https://vignette.wikia.nocookie.net/fategrandorder/images/1/1c/Sakataicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/2/26/SakataKintokiFinalIcon.png/revision/latest?cb=20180218073653,Kintoki,5,Berserker,Man,B,B,B,A,Q,12150,12712,Limited,pieceBerserker,5,,,,,pieceBerserker,12,Proof,22,,,,,monumentBerserker,5,Crystal,10,Seed,6,monumentBerserker,12,Seed,12,Heart,5,,,blueBerserker,5,,,,,blueBerserker,12,,,,,,,redBerserker,5,,,,,redBerserker,12,Crystal,5,,,,,goldBerserker,5,Crystal,10,,,goldBerserker,12,Proof,15,,,,,Proof,29,Dust,12,Dust,36,Heart,10,20M Downloads Campaign,Heian-kyou Pre-Release Campaign,
Sakata Kintoki [Rider],115,https://vignette.wikia.nocookie.net/fategrandorder/images/2/2f/Kintokiridericon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/0/0a/SakataKintokiRiderFinalIcon.png/revision/latest?cb=20180215130344,Kintoki Rider,4,Rider,Earth,B,B,A,Q,Q,10800,9819,Welfare,Lighter,1,,,,,Lighter,1,,,,,,,Lighter,1,,,,,Lighter,1,,,,,,,blueRider,4,,,,,blueRider,10,,,,,,,redRider,4,,,,,redRider,10,Crystal,4,,,,,goldRider,4,Crystal,8,,,goldRider,10,Seed,5,,,,,Seed,10,Horseshoe,5,Horseshoe,15,Horn,12,,,
Salome,260,https://vignette.wikia.nocookie.net/fategrandorder/images/6/63/S260Icon.png/revision/latest?cb=20190804164313,,https://vignette.wikia.nocookie.net/fategrandorder/images/5/51/SalomeFinalIcon.png/revision/latest?cb=20190804164838,Salome,2,Berserker,Earth,B,B,A,A,Q,6885,6884,Permanent,pieceBerserker,3,,,,,pieceBerserker,6,Bone,11,,,,,monumentBerserker,3,Lamp,3,Dust,5,monumentBerserker,6,Dust,10,Wine,3,,,blueBerserker,3,,,,,blueBerserker,6,,,,,,,redBerserker,3,,,,,redBerserker,6,Lamp,2,,,,,goldBerserker,3,Lamp,3,,,goldBerserker,6,Bone,8,,,,,Bone,15,Fluid,9,Fluid,27,Permafrost,12,,,
Sasaki Kojirou,39,https://vignette.wikia.nocookie.net/fategrandorder/images/9/9c/Sasakiicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/c/c7/SasakiKojirouFinalIcon.png/revision/latest?cb=20180212022223,Kojirou,1,Assassin,Man,B,A,Q,Q,Q,6220,5735,Permanent,pieceAssassin,2,,,,,pieceAssassin,4,Proof,8,,,,,monumentAssassin,2,Dust,7,Gear,2,monumentAssassin,4,Gear,4,Crystal,4,,,blueAssassin,2,,,,,blueAssassin,4,,,,,,,redAssassin,2,,,,,redAssassin,4,Dust,4,,,,,goldAssassin,2,Dust,7,,,goldAssassin,4,Proof,5,,,,,Proof,10,Bone,6,Bone,18,Crystal,8,,,
Scathach,70,https://vignette.wikia.nocookie.net/fategrandorder/images/3/3f/Scathachicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/9/9f/ScathachFinalIcon.png/revision/latest?cb=20180214132248,Scathach,5,Lancer,Star,B,B,A,Q,Q,14825,11375,Limited,pieceLancer,5,,,,,pieceLancer,12,Bone,22,,,,,monumentLancer,5,Dust,20,Claw,3,monumentLancer,12,Claw,6,Heart,5,,,blueLancer,5,,,,,blueLancer,12,,,,,,,redLancer,5,,,,,redLancer,12,Dust,10,,,,,goldLancer,5,Dust,20,,,goldLancer,12,Bone,15,,,,,Bone,29,Feather,5,Feather,15,Heart,10,New Year 2020,20M Downloads Campaign,
Scathach [Assassin],133,https://vignette.wikia.nocookie.net/fategrandorder/images/6/63/ScathachAssassinicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/e/e6/ScathachAssassinFinalIcon.png/revision/latest?cb=20180217094124,Summer Shishou,4,Assassin,Star,B,A,Q,Q,Q,11168,9049,Welfare,Branch,1,,,,,Branch,1,,,,,,,Branch,1,,,,,Branch,1,,,,,,,blueAssassin,4,,,,,blueAssassin,10,,,,,,,redAssassin,4,,,,,redAssassin,10,Seed,5,,,,,goldAssassin,4,Seed,10,,,goldAssassin,10,Seashell,4,,,,,Seashell,8,Root,2,Root,6,Scarab,8,,,
Scheherazade,169,https://vignette.wikia.nocookie.net/fategrandorder/images/7/78/CasterofNightlessCity.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/b/bb/ScheherazadeFinalIcon.png/revision/latest?cb=20180216123007,Scheherezade,5,Caster,Man,B,A,A,A,Q,15846,9212,Permanent,pieceCaster,5,,,,,pieceCaster,12,Feather,6,,,,,monumentCaster,5,Jewel,8,Lamp,3,monumentCaster,12,Lamp,6,Wine,5,,,blueCaster,5,,,,,blueCaster,12,,,,,,,redCaster,5,,,,,redCaster,12,Jewel,4,,,,,goldCaster,5,Jewel,8,,,goldCaster,12,Feather,4,,,,,Feather,8,Seashell,6,Seashell,18,Scarab,10,Valentine's 2020,Valentine's 2021,
Sei Shounagon,276,https://vignette.wikia.nocookie.net/fategrandorder/images/f/f6/S276Icon.png/revision/latest?cb=20200212130412,,https://vignette.wikia.nocookie.net/fategrandorder/images/8/81/SeiShounagonFinalIcon.png/revision/latest?cb=20200212145604,Shounagon,5,Archer,Man,B,A,A,Q,Q,12218,12965,Limited,pieceArcher,5,,,,,pieceArcher,12,Magatama,8,,,,,monumentArcher,5,Steel,10,Bell,5,monumentArcher,12,Bell,10,Shard,5,,,blueArcher,5,,,,,blueArcher,12,,,,,,,redArcher,5,,,,,redArcher,12,Steel,5,,,,,goldArcher,5,Steel,10,,,goldArcher,12,Magatama,5,,,,,Magatama,10,Mirror,3,Mirror,8,Egg,10,Valentine's 2020,Valentine's 2021,
Semiramis,199,https://vignette.wikia.nocookie.net/fategrandorder/images/5/5f/Icon_Servant_199.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/1/1d/SemiramisFinalIcon.png/revision/latest?cb=20180527143632,Semiramis,5,Assassin,Earth,B,A,A,A,Q,13266,11309,Limited,pieceAssassin,5,,,,,pieceAssassin,12,Fang,18,,,,,monumentAssassin,5,Stinger,24,Jewel,4,monumentAssassin,12,Jewel,8,Scarab,4,,,blueAssassin,5,,,,,blueAssassin,12,,,,,,,redAssassin,5,,,,,redAssassin,12,Stinger,12,,,,,goldAssassin,5,Stinger,24,,,goldAssassin,12,Fang,12,,,,,Fang,24,Feather,5,Feather,15,Root,10,Apocrypha Collab Re-Run,New Year 2021,Valentine's 2021
Senji Muramasa,302,https://static.wikia.nocookie.net/fategrandorder/images/e/ef/S302Icon.png/,,https://static.wikia.nocookie.net/fategrandorder/images/5/58/S302A4Icon.png/,Muramasa,5,Saber,Man,B,B,A,A,Q,14680,11373,Limited,pieceSaber,5,,,,,pieceSaber,12,Crystal,8,,,,,monumentSaber,5,Lantern,10,Steel,5,monumentSaber,12,Steel,10,Shard,5,,,blueSaber,5,,,,,blueSaber,12,,,,,,,redSaber,5,,,,,redSaber,12,Lantern,5,,,,,goldSaber,5,Lantern,10,,,goldSaber,12,Crystal,5,,,,,Crystal,10,Magatama,6,Magatama,18,Flame,10,New Year 2021,,
Sessyoin Kiara,167,https://vignette.wikia.nocookie.net/fategrandorder/images/9/91/KiaraIcon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/5/52/SessyouinKiaraFinalIcon.png/revision/latest?cb=20180219123839,Kiara,5,Alter Ego,Beast,B,B,A,A,Q,14606,11668,Limited,pieceSaber,5,pieceCaster,5,,,pieceSaber,12,pieceCaster,12,,,,,monumentSaber,5,monumentCaster,5,,,monumentSaber,12,monumentCaster,12,,,,,blueSaber,5,blueCaster,5,,,blueSaber,12,blueCaster,12,,,,,redSaber,5,redCaster,5,,,redSaber,12,redCaster,12,,,,,goldSaber,5,goldCaster,5,,,goldSaber,12,goldCaster,12,,,,,Grease,5,Lamp,5,Gallstone,9,Heart,9,New Year 2020,Tokugawa Kaiten Meikyū Ōoku Re-Run,
Sessyoin Kiara [Moon Cancer],285,https://vignette.wikia.nocookie.net/fategrandorder/images/4/40/S285Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/6/69/SessyouinKiaraMoonCancerFinalIcon.png/,Summer Kiara,5,Moon Cancer,Beast,B,B,A,A,Q,15336,11128,Limited,pieceRider,5,pieceAssassin,5,,,pieceRider,12,pieceAssassin,12,,,,,monumentRider,5,monumentAssassin,5,,,monumentRider,12,monumentAssassin,12,,,,,blueRider,5,blueAssassin,5,,,blueRider,12,blueAssassin,12,,,,,redRider,5,redAssassin,5,,,redRider,12,redAssassin,12,,,,,goldRider,5,goldAssassin,5,,,goldRider,12,goldAssassin,12,,,,,Seashell,8,Tearstone,5,Mirror,9,Fruit,12,Servant Summer Camp,Servant Summer Camp Re-Run,
Sherlock Holmes,173,https://vignette.wikia.nocookie.net/fategrandorder/images/9/93/S173.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/6/61/SherlockHolmesFinalIcon.png/revision/latest?cb=20180219123847,Holmes,5,Ruler,Star,B,A,A,Q,Q,13365,11495,Limited,pieceArcher,5,pieceCaster,5,pieceAssassin,5,pieceSaber,5,pieceLancer,5,pieceRider,5,pieceBerserker,5,monumentArcher,5,monumentCaster,5,monumentAssassin,5,monumentSaber,5,monumentLancer,5,monumentRider,5,monumentBerserker,5,blueArcher,5,blueCaster,5,blueAssassin,5,blueSaber,5,blueLancer,5,blueRider,5,blueBerserker,5,redArcher,5,redCaster,5,redAssassin,5,redSaber,5,redLancer,5,redRider,5,redBerserker,5,goldArcher,5,goldCaster,5,goldAssassin,5,goldSaber,5,goldLancer,5,goldRider,5,goldBerserker,5,Page,12,,,Scarab,15,,,Interlude Campaign 13,,
Shuten Douji,112,https://vignette.wikia.nocookie.net/fategrandorder/images/2/2f/ShutenIcon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/e/e7/ShutendoujiFinalIcon.png/revision/latest?cb=20180211152829,Shuten,5,Assassin,Earth,B,A,A,Q,Q,12825,11993,Limited,pieceAssassin,5,,,,,pieceAssassin,12,Bone,22,,,,,monumentAssassin,5,Jewel,8,Lantern,5,monumentAssassin,12,Lantern,10,Heart,5,,,blueAssassin,5,,,,,blueAssassin,12,,,,,,,redAssassin,5,,,,,redAssassin,12,Jewel,4,,,,,goldAssassin,5,Jewel,8,,,goldAssassin,12,Bone,15,,,,,Bone,29,Claw,4,Claw,11,Root,10,ONILAND Re-Run,Interlude Campaign 14,FGO x Waltz Collab Pre-Campaign
Shuten Douji [Caster],225,https://vignette.wikia.nocookie.net/fategrandorder/images/6/66/S225Icon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/7/7e/ShutenDoujiCasterFinalIcon.png/revision/latest?cb=20181025174603,Caster Shuten,4,Caster,Earth,B,A,A,A,Q,11025,9538,Welfare,Cane,1,,,,,Cane,1,,,,,,,Cane,1,,,,,Cane,1,,,,,,,blueCaster,4,,,,,blueCaster,10,,,,,,,redCaster,4,,,,,redCaster,10,Bone,12,,,,,goldCaster,4,Bone,24,,,goldCaster,10,Stinger,10,,,,,Stinger,20,Feather,4,Feather,12,Steel,20,ONILAND Re-Run,,
Sieg,208,https://vignette.wikia.nocookie.net/fategrandorder/images/c/ce/SiegIcon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/4/42/SiegFinalIcon.png/revision/latest?cb=20180529143700,Sieg,4,Caster,Man,B,B,A,A,Q,11288,8394,Welfare,Leaf,1,,,,,Leaf,1,,,,,,,Leaf,1,,,,,Leaf,1,,,,,,,blueCaster,4,,,,,blueCaster,10,,,,,,,redCaster,4,,,,,redCaster,10,Fang,10,,,,,goldCaster,4,Fang,20,,,goldCaster,10,Medal,8,,,,,Medal,16,Heart,2,Heart,6,Scale,8,Apocrypha Collab Re-Run,,
Siegfried,6,https://vignette.wikia.nocookie.net/fategrandorder/images/c/c0/Siegicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/4/4f/SiegfriedFinalIcon.png/revision/latest?cb=20180212151718,Siegfried,4,Saber,Earth,B,B,A,A,Q,14165,8181,Permanent,pieceSaber,4,,,,,pieceSaber,10,Fang,15,,,,,monumentSaber,4,Seed,10,Proof,12,monumentSaber,10,Proof,24,Scale,4,,,blueSaber,4,,,,,blueSaber,10,,,,,,,redSaber,4,,,,,redSaber,10,Seed,5,,,,,goldSaber,4,Seed,10,,,goldSaber,10,Fang,10,,,,,Fang,20,Heart,2,Heart,6,Scale,8,Las Vegas Official Bout,Las Vegas Official Bout Re-Run,
Sigurd,213,https://vignette.wikia.nocookie.net/fategrandorder/images/4/4a/S213Icon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/5/59/SigurdFinalIcon.png/revision/latest?cb=20180726112222,Sigurd,5,Saber,Earth,B,B,A,A,Q,13975,12465,Limited,pieceSaber,5,,,,,pieceSaber,12,Fang,18,,,,,monumentSaber,5,Horseshoe,10,Lamp,3,monumentSaber,12,Lamp,6,Scale,5,,,blueSaber,5,,,,,blueSaber,12,,,,,,,redSaber,5,,,,,redSaber,12,Horseshoe,5,,,,,goldSaber,5,Horseshoe,10,,,goldSaber,12,Fang,12,,,,,Fang,24,Scale,3,Scale,8,Ring,24,Servant Summer Camp,Servant Summer Camp Re-Run,
Sima Yi [Reines],241,https://vignette.wikia.nocookie.net/fategrandorder/images/b/b6/S241Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/e/eb/SimaYi%28Reines%29FinalIcon.png/revision/latest?cb=20190427141620,Reines,5,Rider,Man,B,A,A,Q,Q,13543,11427,Limited,pieceRider,5,,,,,pieceRider,12,Gear,8,,,,,monumentRider,5,Page,10,Horn,3,monumentRider,12,Horn,6,Scarab,5,,,blueRider,5,,,,,blueRider,12,,,,,,,redRider,5,,,,,redRider,12,Page,5,,,,,goldRider,5,Page,10,,,goldRider,12,Gear,5,,,,,Gear,10,Stake,18,Stake,54,Bell,24,Interlude Campaign 13,,
